name,type,website,headquarters,aliases,legal_entities,partners
Accel,vc,https://accel.com,,Accel,Accel GmbH,Sonali De Reyker;Henry Jefferies;Will Sheldon;Jennifer Laing;Lucy Wimmer
Piva,vc,https://piva.vc,,Piva,Piva GmbH,Issam Dairanieh
Partners Group,vc,https://partnersgroup.com,,Partners Group;Partners,Partners Group GmbH;Partners Group LP,Andreas Thors
Marble,vc,https://marble.studio,,Marble,Marble GmbH,Benjamin Tincq;Jonny Everett;Lipsa Nag;Agathe Destruhaut;Edgar Ke
Axeleo Capital,vc,https://axeleo.com,,Axeleo Capital;Axeleo,Axeleo Capital GmbH;Axeleo Capital LP,Guillaume Sarlat
Addition,vc,https://addition.com,,Addition,Addition GmbH,
Grok Ventures,vc,https://grok.ventures,,Grok Ventures;Grok,Grok Ventures GmbH;Grok Ventures LP,Sam Tidswell;Lucinda Hankin
Collab Fund,vc,https://collabfund.com,,Collab Fund;Collab,Collab Fund GmbH,Andrew Montgomery;Guy Vidra;Sophie Bakalar;Luisa Sucre;Chris Dowd
Planet A,vc,https://planet-a.com,,Planet A;Planet,Planet A GmbH,Nick de la Forge;Christian Schad;Fridtjof Detzner;Tobias Seikel;Helmut Söhler
Wind Capital Group,vc,https://wind.capital,,Wind Capital Group;Wind,Wind Capital Group GmbH;Wind Capital Group LP,Xavier Gury;Thierry Vandewalle
Lightspeed Venture Partners,vc,https://lsvp.com,,Lightspeed Venture Partners;Lightspeed,Lightspeed Venture Partners GmbH;Lightspeed Venture Partners LP,Alexander Schmidt;Mercedes Henley;Paul Murphy;Jasmine Kriston;Alexander Schmitt
Sequoia Capital,vc,https://sequoiacap.com,,Sequoia Capital;Sequoia,Sequoia Capital GmbH;Sequoia Capital LP,Michael Moritz;Luciana Lixandru;Jess Lee;Christian Edler;Ollie George
